zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured,state
332923563,CO,Colorado,"202 Lake Park Dr, Loveland, CO 80537",202 Lake Park Dr,Loveland,80537,650000,"$650,000",3,3,3462,40.391026,-105.13498,House for sale,SINGLE_FAMILY,15,NA,https://www.zillow.com/homedetails/202-Lake-Park-Dr-Loveland-CO-80537/332923563_zpid/,FALSE,NA,FALSE,CO
13361749,CO,Colorado,"927 S Yates St, Denver, CO 80219",927 S Yates St,Denver,80219,287000,"$287,000",2,1,979,39.699913,-105.05138,House for sale,SINGLE_FAMILY,6,282000,https://www.zillow.com/homedetails/927-S-Yates-St-Denver-CO-80219/13361749_zpid/,FALSE,NA,FALSE,CO
13327976,CO,Colorado,"838 Milwaukee Street, Denver, CO 80206",838 Milwaukee Street,Denver,80206,1150000,"$1,150,000",4,4,3718,39.729836,-104.95161,House for sale,SINGLE_FAMILY,4,NA,https://www.zillow.com/homedetails/838-Milwaukee-St-Denver-CO-80206/13327976_zpid/,FALSE,NA,FALSE,CO
13756106,CO,Colorado,"1106 County Road 65, Evergreen, CO 80439",1106 County Road 65,Evergreen,80439,1795000,"$1,795,000",3,4,3948,39.696114,-105.36249,Coming soon,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/1106-County-Road-65-Evergreen-CO-80439/13756106_zpid/,TRUE,2026-02-14T12:00:00Z,FALSE,CO
59365047,CO,Colorado,"4650 Brenton Dr, Fort Collins, CO 80524",4650 Brenton Dr,Fort Collins,80524,508000,"$508,000",3,3,2280,40.57988,-104.98981,House for sale,SINGLE_FAMILY,2,503700,https://www.zillow.com/homedetails/4650-Brenton-Dr-Fort-Collins-CO-80524/59365047_zpid/,FALSE,NA,FALSE,CO
13236165,CO,Colorado,"2253 Spinnaker Cir, Longmont, CO 80503",2253 Spinnaker Cir,Longmont,80503,670000,"$670,000",3,4,2959,40.200848,-105.14262,House for sale,SINGLE_FAMILY,3,654500,https://www.zillow.com/homedetails/2253-Spinnaker-Cir-Longmont-CO-80503/13236165_zpid/,FALSE,NA,FALSE,CO
444181019,CO,Colorado,"1339 Columbine Drive, Castle Rock, CO 80104",1339 Columbine Drive,Castle Rock,80104,459000,"$459,000",4,2,1560,39.36937,-104.84007,Townhouse for sale,TOWNHOUSE,3,NA,https://www.zillow.com/homedetails/1339-Columbine-Dr-Castle-Rock-CO-80104/444181019_zpid/,TRUE,2026-02-08T12:00:00Z,FALSE,CO
67450365,CO,Colorado,"3444 Springmeadow Circle, Castle Rock, CO 80109",3444 Springmeadow Circle,Castle Rock,80109,814900,"$814,900",5,4,3995,39.40342,-104.89945,Coming soon,SINGLE_FAMILY,4,NA,https://www.zillow.com/homedetails/3444-Springmeadow-Cir-Castle-Rock-CO-80109/67450365_zpid/,FALSE,NA,FALSE,CO
13132964,CO,Colorado,"7513 E Costilla Boulevard, Centennial, CO 80112",7513 E Costilla Boulevard,Centennial,80112,650000,"$650,000",5,3,2640,39.593395,-104.900955,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/7513-E-Costilla-Blvd-Centennial-CO-80112/13132964_zpid/,FALSE,NA,FALSE,CO
13844821,CO,Colorado,"13202 Riley Peak Road, Conifer, CO 80433",13202 Riley Peak Road,Conifer,80433,440000,"$440,000",3,1,1288,39.47631,-105.27237,House for sale,SINGLE_FAMILY,7,NA,https://www.zillow.com/homedetails/13202-Riley-Peak-Rd-Conifer-CO-80433/13844821_zpid/,FALSE,NA,FALSE,CO
